address,eggs,zoo_amount,source
0x008f01f3f5d15abecc72247d140bfd0226f6a283,1,4200000,bsc_scan
0x048d84298d42413020b4f75dc8a2efc9e003630a,1,4200000,bsc_scan
0x05c502113c898c6885faf6919f7054d66f563f9e,4,16800000,bsc_scan
0x0771bb1a8e42cf1328a3f0b9fb1b35d9e903b23d,4,16800000,spreadsheet
0x07e40e03bb00e13c03c0e017ffd7cbb029e32730,9,37800000,spreadsheet
0x08f4c12c05e5cf92c3b10c81e4ad7fb5ba97ea73,4,16800000,spreadsheet
0x0ba9bd3225665f397820651e172cfb5e43d8991e,2,8400000,bsc_scan
0x0bde1f18b1e866cf4c4f3a017a90d1fc5a1db76d,1,4200000,spreadsheet
0x1088de1ac37e26a16814c0d1d20ef25350490879,3,12600000,bsc_scan
0x12cccea8152c36e0029d72a202a5f48e166618d7,6,25200000,bsc_scan
0x1495809b84f07cb1364560c3f5700486c6f92cf1,4,16800000,bsc_scan
0x1708e387c0b1b0aae7c1beac79b12c4ca837c2c9,12,50400000,spreadsheet
0x18c21cbaab25d24a96e7c18b7c6e3e968b77df9f,10,42000000,spreadsheet
0x1db1f644c2c0bca40473ce48260a1ff312449618,5,21000000,bsc_scan
0x201376acc2380ad2702955b550ebade9977d0866,4,16800000,bsc_scan
0x21180db4a88a0aa5f0573d77a1bfcf7d7ea4e3ef,1,4200000,bsc_scan
0x225ee8a7d1b460f42f6e29ae5d7abd33d05fac8e,2,8400000,bsc_scan
0x2dfdaf97d96e9a39205c6249070e6e2820e71952,3,12600000,bsc_scan
0x2e387a97c6795dc73d4e8a3e456c4b9848fb5c73,5,21000000,spreadsheet
0x2e5489309ba8ac06ccde965a9f190cdb37e0a739,3,12600000,bsc_scan
0x2f7f9640f080c99e9daba062b0fa0e969e7ca025,3,12600000,bsc_scan
0x340a5153500db300795c46b327d4ce476d7f8950,4,16800000,bsc_scan
0x3556cc9a006b384d854a9fc688c891a351d3c144,1,4200000,bsc_scan
0x47fa1419ceeb9bd3e40e0c7e30dd75c67da7e9ab,6,25200000,spreadsheet
0x4b83911c955a007c781eb60d95d959b272d6dc10,2,8400000,bsc_scan
0x4c9c2d155961a75876533e9151353fa1290d3168,1,4200000,bsc_scan
0x4cf74728230bbab99bb3c4899f6a40e0e10930c9,1,4200000,bsc_scan
0x4db30e41ad76ecc5533d46bd68493648ca0400ae,2,8400000,bsc_scan
0x51c29390c8e24baaa92fea06ce95d90d0877ca9e,5,21000000,spreadsheet
0x57d9e829e1cd43c12f959e088b12b670b3ae5eac,10,42000000,spreadsheet
0x5926a00a9cc4d2573a11f064c787f097f6b4d209,6,25200000,bsc_scan
0x5a3d8854575fb1a93c3d7f3009156390a3ed76ad,2,8400000,bsc_scan
0x5a5dac9623f965fee8569853c28e66b98fb1f242,2,8400000,bsc_scan
0x5b5bc5c57ae3bb0e7ab99e57b0a2e88bbf956c15,3,12600000,spreadsheet
0x5ea3c17a87014bd1df7a817ac0c4139525543ab5,4,16800000,bsc_scan
0x6762ff916de1b315da56f4fa7b78f39aa60d9f4c,1,4200000,bsc_scan
0x67be46cc9fc7c4d98da9e95a0f1e31c0ad17c2b7,1,4200000,spreadsheet
0x6a47b6a5cca9d3c087e9578a0a3a6afe5b5c4479,7,29400000,bsc_scan
0x6a6863b14413910b6a9054f6face292e031ec6da,4,16800000,bsc_scan
0x6d068a72c8bc06caf7b21e1cd2e552bd3e2fe58b,1,4200000,bsc_scan
0x7094c837d3a578090caeb9be4538773d113ee0ee,3,12600000,bsc_scan
0x78876ed849c98c817120d08e94184852e0e5340d,1,4200000,bsc_scan
0x7a04a145ca905f19cea9cde5e5ab052732a13c76,1,4200000,bsc_scan
0x7d0cd6a6c68a46b037208c0a289bf34122d31672,6,25200000,bsc_scan
